Geo Point;Geo Shape;BikeRace;City;BikePos;NumUnits;CrashHour;Locality;BikeSex;DrvrVehTyp;NumBikesNo;BikeAlcDrg;NumBikesBI;RteInvdCd;DrvrRace;Workzone;NumBikesCi;BikeAgeGrp;CrashType;RdDefects;CrashAlcoh;BikeAlcoho;RdConditio;DstncMiFrm;RuralUrban;HitRun;CrashDate;NumBikesUI;CrashTime;DrvrSex;DrvrAlcoho;Developmen;CrashSevr;AmbulanceR;DrvrInjury;OBJECTID;CrashMonth;NumBikesKi;RdCharacte;Region;BikeDir;TraffCntrl;CrashDay;CrashLoc;BikeAge;NumBikesTo;RdConfig;NumLanes;NumBikesAI;DrvrAlcDrg;OnRoad;RdSurface;Towrd_Rd;RdFeature;CrashGrp;RdClass;BikeInjury;County;DrvrAge;Weather;FrmRd;DrvrEstSpd;SpeedLimit;CrashYear;LightCond;DrvrAgeGrp
36.4903771575, -80.6061032425;"{""type"": ""Point"", ""coordinates"": [-80.60610324254829, 36.49037715750712]}";Black;Mount Airy;Travel Lane;2;13;Urban (>70% Developed);Male;Passenger Car;0;No;0;50033697;White;No;1;11-15;Signalized Intersection - Other / Unknown;None;No;#NULL!;Dry;0;Urban;No;22MAR2014;0;13:20;Male;#NULL!;Residential;C: Possible Injury;No;O: No Injury;99;March;0;Straight - Bottom;Mountains;Unknown;Stop And Go Signal;Saturday;Intersection;15;1;Two-Way, Not Divided;2 lanes;0;No;WORTH ST;Smooth Asphalt;HALE ST;Four-Way Intersection;Crossing Paths - Other Circumstances;Local Street;C: Possible Injury;Surry;70+;Cloudy;E HAYMORE ST;26-30 mph;30 - 35  MPH;2014;Daylight;70+
35.105306986, -77.0813221012;"{""type"": ""Point"", ""coordinates"": [-77.08132210115691, 35.10530698600985]}";White;New Bern;Travel Lane;2;16;Urban (>70% Developed);Female;Passenger Car;0;No;0;40001395;Asian;No;1;50-59;Motorist Drive Out - Commercial Driveway / Alley;None;No;#NULL!;Dry;0.05;Urban;No;27MAR2014;0;16:46;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;102;March;0;Straight - Level;Coastal;Facing Traffic;Stop Sign;Thursday;Non-Intersection;51;1;Two-Way, Divided, Unprotected Median;6 lanes;0;No;17;Smooth Asphalt;HOTEL DR;No Special Feature;Motorist Failed to Yield - Midblock;US Route;C: Possible Injury;Craven;41;Clear;PINETREE DR;0-5 mph;50 - 55  MPH;2014;Daylight;40-49
35.77761408, -78.6139126015;"{""type"": ""Point"", ""coordinates"": [-78.61391260146488, 35.77761407997098]}";Black;Raleigh;Travel Lane;2;17;Urban (>70% Developed);Male;Passenger Car;0;No;1;40002921;Black;No;0;20-24;Bicyclist Ride Through - Signalized Intersection;None;No;#NULL!;Dry;0;Urban;No;30MAR2014;0;17:01;Male;#NULL!;Residential;B: Evident Injury;Yes;O: No Injury;103;March;0;Straight - Level;Piedmont;With Traffic;Stop And Go Signal;Sunday;Intersection;20;1;Two-Way, Not Divided;6 lanes;0;No;N RALEIGH BLVD;Coarse Asphalt;LIGHTNER LANE;No Special Feature;Bicyclist Failed to Yield - Signalized Intersection;Local Street;B: Evident Injury;Wake;39;Clear;POOLE RD;36-40 mph;40 - 45  MPH;2014;Daylight;30-39
34.7608328997, -77.4151821862;"{""type"": ""Point"", ""coordinates"": [-77.4151821862262, 34.760832899707104]}";White;Jacksonville;Sidewalk / Crosswalk / Driveway Crossing;2;23;Urban (>70% Developed);Male;Pickup;0;No;0;40001336;White;No;1;20-24;Crossing Paths - Uncontrolled Intersection;None;No;#NULL!;Dry;0;Urban;No;08MAR2014;0;23:25;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;104;March;0;Straight - Level;Coastal;Facing Traffic;Stop And Go Signal;Saturday;Intersection;24;1;Two-Way, Divided, Unprotected Median;3 lanes;0;No;ONSLOW DR;Smooth Asphalt;PRESTON ROAD;Four-Way Intersection;Crossing Paths - Other Circumstances;State Secondary Route;C: Possible Injury;Onslow;38;Clear;17;31-35 mph;30 - 35  MPH;2014;Dark - Lighted Roadway;30-39
35.941882117, -78.5582325928;"{""type"": ""Point"", ""coordinates"": [-78.55823259280501, 35.941882116967314]}";White;Raleigh;Travel Lane;2;21;Urban (>70% Developed);Male;Unknown;0;No;1;50034524;Unknown/Missing;No;0;16-19;Parallel Paths - Other / Unknown;None;No;#NULL!;Dry;0.085;Urban;Yes;01APR2014;0;21:56;Unknown;#NULL!;Commercial;B: Evident Injury;Yes;Unknown Injury;109;April;0;Straight - Hillcrest;Piedmont;With Traffic;No Control Present;Tuesday;Non-Intersection;16;1;Two-Way, Not Divided;2 lanes;0;Missing;WAKEFIELD PINES DR;Smooth Asphalt;WAKEFIELD CROSSING DR;No Special Feature;Parallel Paths - Other Circumstances;Local Street;B: Evident Injury;Wake;Unknown;Clear;FALLS OF NEUSE RD;16-20 mph;20 - 25  MPH;2014;Dark - Lighted Roadway;Unknown
34.8218418949, -77.9585523541;"{""type"": ""Point"", ""coordinates"": [-77.9585523541103, 34.821841894925235]}";Black;None - Rural Crash;Travel Lane;2;19;Rural (<30% Developed);Male;Pickup;0;Yes- Alcohol and Drugs, impairment suspected;0;40001102;Black;No;1;50-59;Motorist Overtaking - Other / Unknown;None;Yes;#NULL!;Dry;0.023;Rural;No;01APR2014;0;19:10;Male;#NULL!;Farms, Woods, Pastures;C: Possible Injury;Yes;O: No Injury;115;April;0;Straight - Level;Coastal;With Traffic;Double Yellow Line, No Passing Zone;Tuesday;Non-Intersection;56;1;Two-Way, Not Divided;2 lanes;0;No;SR 1102;Coarse Asphalt;40;No Special Feature;Motorist Overtaking Bicyclist;State Secondary Route;C: Possible Injury;Duplin;70+;Clear;1162;36-40 mph;50 - 55  MPH;2014;Daylight;70+
35.199866881, -80.7260032049;"{""type"": ""Point"", ""coordinates"": [-80.72600320494547, 35.19986688095119]}";Black;Charlotte;Sidewalk / Crosswalk / Driveway Crossing;2;18;Urban (>70% Developed);Male;Passenger Car;0;No;0;0;Black;No;1;11-15;Motorist Drive Out - Commercial Driveway / Alley;None;No;#NULL!;Dry;0;Urban;No;06APR2014;0;18:23;Female;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;120;April;0;Curve - Grade;Piedmont;Facing Traffic;No Control Present;Sunday;Non-Intersection;13;1;Two-Way, Not Divided;2 lanes;0;No;E W T HARRIS BLVD;Smooth Asphalt;BONLYN DR;No Special Feature;Motorist Failed to Yield - Midblock;Public Vehicular Area;C: Possible Injury;Mecklenburg;25;Clear;8825 E W T HARRIS BLVD;6-10 mph;Unknown;2014;Daylight;25-29
35.2766148944, -80.7933532292;"{""type"": ""Point"", ""coordinates"": [-80.79335322919361, 35.276614894426935]}";Black;Charlotte;Sidewalk / Crosswalk / Driveway Crossing;2;8;Urban (>70% Developed);Male;Sport Utility;0;No;0;40002480;Black;No;1;50-59;Motorist Drive Out - Signalized Intersection;None;No;#NULL!;Dry;0;Urban;No;09APR2014;0;8:02;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;125;April;0;Straight - Level;Piedmont;With Traffic;Stop And Go Signal;Wednesday;Intersection;57;1;Two-Way, Not Divided;6 lanes;0;No;W SUGAR CREEK RD;Smooth Asphalt;TOM HUNTER RD;Four-Way Intersection;Motorist Failed to Yield - Signalized Intersection;Local Street;C: Possible Injury;Mecklenburg;63;Clear;REAGAN DR;0-5 mph;30 - 35  MPH;2014;Daylight;60-69
35.7989340022, -80.8819832846;"{""type"": ""Point"", ""coordinates"": [-80.88198328461814, 35.79893400219982]}";White;Statesville;Travel Lane;2;18;Urban (>70% Developed);Male;Sport Utility;0;No;0;50013307;White;No;0;50-59;Motorist Drive Out - Sign-Controlled Intersection;None;No;#NULL!;Dry;0;Urban;No;03APR2014;0;18:06;Male;#NULL!;Commercial;K: Killed;Yes;O: No Injury;126;April;1;Straight - Grade;Piedmont;With Traffic;Stop Sign;Thursday;Intersection;52;1;Two-Way, Not Divided;2 lanes;0;No;OAKDALE DR;Smooth Asphalt;SPRINGDALE RD;Four-Way Intersection;Motorist Failed to Yield - Sign-Controlled Intersection;State Secondary Route;K: Killed;Iredell;33;Clear;HARTNESS RD;6-10 mph;30 - 35  MPH;2014;Daylight;30-39
35.8751871006, -78.6233526096;"{""type"": ""Point"", ""coordinates"": [-78.62335260959144, 35.875187100604045]}";Other;Raleigh;Sidewalk / Crosswalk / Driveway Crossing;2;9;Urban (>70% Developed);Male;Passenger Car;0;No;1;40002000;White;No;0;60-69;Motorist Drive Out - Signalized Intersection;None;No;#NULL!;Dry;0;Urban;No;10APR2014;0;9:04;Male;#NULL!;Commercial;B: Evident Injury;No;O: No Injury;132;April;0;Straight - Level;Piedmont;Facing Traffic;Stop And Go Signal;Thursday;Intersection;60;1;Two-Way, Not Divided;Unknown;0;No;FALLS OF NEUSE RD;Smooth Asphalt;LAKE FOREST DR;Driveway, Public;Motorist Failed to Yield - Signalized Intersection;Public Vehicular Area;B: Evident Injury;Wake;16;Clear;HUNTING RIDGE RD;0-5 mph;5 - 15 MPH;2014;Daylight;0-19
35.7768130791, -78.6366526081;"{""type"": ""Point"", ""coordinates"": [-78.63665260806478, 35.776813079083674]}";Black;Raleigh;Travel Lane;2;10;Urban (>70% Developed);Male;Passenger Car;0;No;0;50019046;Black;Yes;1;25-29;Motorist Left Turn - Opposite Direction;Work Zone;No;#NULL!;Wet;0;Urban;No;15APR2014;0;10:30;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;135;April;0;Straight - Level;Piedmont;With Traffic;Stop And Go Signal;Tuesday;Intersection;28;1;Two-Way, Not Divided;Unknown;0;No;E MARTIN ST;Smooth Asphalt;WOLFE ST;Four-Way Intersection;Motorist Left Turn / Merge;Local Street;C: Possible Injury;Wake;70+;Cloudy;S BLOUNT ST;6-10 mph;30 - 35  MPH;2014;Daylight;70+
34.6776418224, -79.1905727185;"{""type"": ""Point"", ""coordinates"": [-79.19057271849809, 34.677641822421506]}";Native American;Pembroke;Travel Lane;2;16;Urban (>70% Developed);Male;Sport Utility;0;Yes-Alcohol,  impairment suspected;0;0;Native American;No;1;40-49;Motorist Overtaking - Undetected Bicyclist;None;Yes;#NULL!;Wet;0;Rural;No;15APR2014;0;16:56;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;139;April;0;Straight - Level;Coastal;With Traffic;No Control Present;Tuesday;Non-Intersection;48;1;Two-Way, Divided, Unprotected Median;4 lanes;0;No;EAST THIRD STREET;Coarse Asphalt;BLAINE STREET;No Special Feature;Motorist Overtaking Bicyclist;Local Street;C: Possible Injury;Robeson;18;Cloudy;LUMBEE BANK DRIVE;21-25 mph;30 - 35  MPH;2014;Daylight;0-19
36.3147692777, -76.2179518965;"{""type"": ""Point"", ""coordinates"": [-76.21795189647769, 36.31476927768226]}";White;Elizabeth City;Sidewalk / Crosswalk / Driveway Crossing;2;12;Urban (>70% Developed);Male;Passenger Car;0;No;1;20000017;Black;Yes;0;16-19;Bicyclist Left Turn - Same Direction;None;No;#NULL!;Wet;0.2;Urban;No;15APR2014;0;12:10;Female;#NULL!;Commercial;B: Evident Injury;Yes;O: No Injury;140;April;0;Straight - Level;Coastal;With Traffic;No Control Present;Tuesday;Non-Intersection;16;1;Two-Way, Divided, Unprotected Median;4 lanes;0;No;N ROAD ST;Coarse Asphalt;GRIGGS ST;No Special Feature;Bicyclist Left Turn / Merge;Local Street;B: Evident Injury;Pasquotank;31;Cloudy;KNOBBS CREEK DR;41-45 mph;40 - 45  MPH;2014;Daylight;30-39
35.2466368893, -80.7563892166;"{""type"": ""Point"", ""coordinates"": [-80.75638921662988, 35.24663688929281]}";White;Charlotte;Travel Lane;2;21;Urban (>70% Developed);Male;Passenger Car;0;No;0;0;Black;No;1;30-39;Motorist Drive Out - Sign-Controlled Intersection;None;No;#NULL!;Wet;0;Urban;No;18APR2014;0;21:21;Female;#NULL!;Residential;C: Possible Injury;Yes;O: No Injury;141;April;0;Straight - Level;Piedmont;Facing Traffic;Stop Sign;Friday;Intersection;36;1;Two-Way, Not Divided;2 lanes;0;No;KILDARE DR;Smooth Asphalt;#NULL!;No Special Feature;Motorist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Mecklenburg;62;Rain;JOYCE DR;0-5 mph;20 - 25  MPH;2014;Dark - Lighted Roadway;60-69
35.5881870013, -79.6896329162;"{""type"": ""Point"", ""coordinates"": [-79.68963291616082, 35.58818700133528]}";Black;None - Rural Crash;Travel Lane;3;17;Rural (<30% Developed);Male;Passenger Car;0;No;1;40002900;White;No;0;11-15;Bicyclist Ride Out - Midblock - Unknown;None;No;#NULL!;Dry;0.16;Rural;No;21APR2014;0;17:05;Female;#NULL!;Farms, Woods, Pastures;A: Disabling Injury;Yes;C: Possible Injury;150;April;0;Straight - Level;Piedmont;Not Applicable;No Control Present;Monday;Non-Intersection;13;2;Two-Way, Not Divided;2 lanes;1;No;SR 2900;Smooth Asphalt;2898;No Special Feature;Bicyclist Failed to Yield - Midblock;State Secondary Route;A: Disabling Injury;Randolph;70+;Clear;2907;41-45 mph;50 - 55  MPH;2014;Daylight;70+
35.5394928862, -82.4869937469;"{""type"": ""Point"", ""coordinates"": [-82.48699374688138, 35.53949288618092]}";White;None - Rural Crash;Travel Lane;2;15;Rural (<30% Developed);Male;Passenger Car;0;No;0;40003074;White;No;1;20-24;Motorist Left Turn - Opposite Direction;None;No;#NULL!;Wet;0.22;Rural;No;19APR2014;0;15:03;Male;#NULL!;Residential;C: Possible Injury;No;O: No Injury;151;April;0;Straight - Grade;Mountains;With Traffic;Double Yellow Line, No Passing Zone;Saturday;Non-Intersection;21;1;Two-Way, Not Divided;2 lanes;0;No;3074;Smooth Asphalt;3122;Driveway, Private;Motorist Left Turn / Merge;State Secondary Route;C: Possible Injury;Buncombe;61;Rain;3121;0-5 mph;40 - 45  MPH;2014;Daylight;60-69
36.2154170584, -81.6831775481;"{""type"": ""Point"", ""coordinates"": [-81.6831775480931, 36.215417058385725]}";White;Boone;Sidewalk / Crosswalk / Driveway Crossing;2;17;Urban (>70% Developed);Female;Passenger Car;0;No;0;40001163;White;No;1;16-19;Motorist Right Turn - Same Direction;None;No;#NULL!;Dry;0.123;Urban;No;25APR2014;0;17:30;Female;#NULL!;Residential;C: Possible Injury;No;O: No Injury;157;April;0;Straight - Level;Mountains;With Traffic;Stop And Go Signal;Friday;Non-Intersection;19;1;Two-Way, Divided, Unprotected Median;4 lanes;0;No;.;Smooth Asphalt;.;No Special Feature;Motorist Right Turn / Merge;Local Street;C: Possible Injury;Watauga;53;Clear;.;6-10 mph;20 - 25  MPH;2014;Daylight;50-59
35.0568729106, -79.0120126838;"{""type"": ""Point"", ""coordinates"": [-79.0120126837527, 35.056872910599054]}";Black;Fayetteville;Bike Lane / Paved Shoulder;2;21;Urban (>70% Developed);Male;Unknown;0;No;1;40001409;Unknown/Missing;No;0;16-19;Bicyclist Left Turn - Same Direction;None;No;#NULL!;Dry;0.023;Urban;Yes;14APR2014;0;21:20;Unknown;#NULL!;Residential;B: Evident Injury;Yes;Unknown Injury;165;April;0;Straight - Level;Coastal;With Traffic;No Control Present;Monday;Non-Intersection;19;1;Two-Way, Not Divided;2 lanes;0;Missing;SEVENTY FIRST SCHOOL R;Coarse Asphalt;FAMILY ST;No Special Feature;Bicyclist Left Turn / Merge;Local Street;B: Evident Injury;Cumberland;Unknown;Cloudy;WRIGHT AVE;Unknown;40 - 45  MPH;2014;Dark - Lighted Roadway;Unknown
35.588569082, -77.3744072148;"{""type"": ""Point"", ""coordinates"": [-77.37440721478856, 35.588569082043286]}";Black;Greenville;Sidewalk / Crosswalk / Driveway Crossing;2;12;Urban (>70% Developed);Female;Passenger Car;0;No;0;0;White;No;1;16-19;Motorist Drive Out - Commercial Driveway / Alley;None;No;#NULL!;Dry;0.001;Urban;No;01MAY2014;0;12:32;Female;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;171;May;0;Straight - Level;Coastal;Facing Traffic;No Control Present;Thursday;Non-Intersection;19;1;Two-Way, Not Divided;5 lanes;0;No;PVA 211 E ARLINGTON BV;Smooth Asphalt;CLIFTON CI;No Special Feature;Motorist Failed to Yield - Midblock;Local Street;C: Possible Injury;Pitt;26;Clear;E ARLINGTON BV;0-5 mph;30 - 35  MPH;2014;Daylight;25-29
35.7849730799, -78.6593626149;"{""type"": ""Point"", ""coordinates"": [-78.6593626148796, 35.78497307993168]}";White;Raleigh;Sidewalk / Crosswalk / Driveway Crossing;2;11;Urban (>70% Developed);Female;Van;0;No;0;50014055;White;No;1;20-24;Motorist Drive Out - Commercial Driveway / Alley;None;No;#NULL!;Dry;0.119;Urban;No;07MAY2014;0;11:22;Female;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;179;May;0;Straight - Level;Piedmont;Facing Traffic;No Control Present;Wednesday;Non-Intersection;23;1;Two-Way, Divided, Unprotected Median;3 lanes;0;No;HILLSBOROUGH ST;Smooth Asphalt;FOREST DR;No Special Feature;Motorist Failed to Yield - Midblock;Public Vehicular Area;C: Possible Injury;Wake;39;Cloudy;OBERLIN RD;0-5 mph;5 - 15 MPH;2014;Daylight;30-39
35.7961339778, -81.5219234757;"{""type"": ""Point"", ""coordinates"": [-81.52192347569502, 35.796133977817455]}";White;None - Rural Crash;Travel Lane;2;10;Mixed (30% To 70% Developed);Male;Sport Utility;0;No;1;40001233;White;No;0;Unknown;Crossing Paths - Uncontrolled Intersection;None;No;#NULL!;Dry;0;Rural;No;03MAY2014;0;10:02;Female;#NULL!;Residential;B: Evident Injury;No;O: No Injury;180;May;0;Straight - Level;Mountains;With Traffic;No Control Present;Saturday;Intersection;Unknown;1;Two-Way, Not Divided;2 lanes;0;No;SR 1233;Coarse Asphalt;1115;T-Intersection;Crossing Paths - Other Circumstances;State Secondary Route;B: Evident Injury;Caldwell;41;Clear;GENTRY CIR;11-15 mph;20 - 25  MPH;2014;Daylight;40-49
34.6212838164, -78.992742656;"{""type"": ""Point"", ""coordinates"": [-78.99274265598198, 34.62128381640454]}";White;Lumberton;Travel Lane;2;15;Urban (>70% Developed);Male;Passenger Car;0;No;1;40002104;Black;No;0;70+;Head-On - Bicyclist;None;No;#NULL!;Dry;0.004;Urban;No;28MAR2014;0;15:03;Male;#NULL!;Residential;B: Evident Injury;No;O: No Injury;181;March;0;Straight - Grade;Coastal;Facing Traffic;Double Yellow Line, No Passing Zone;Friday;Non-Intersection;70+;1;Two-Way, Not Divided;2 lanes;0;No;7TH ST;Coarse Asphalt;GODWIN AVE;No Special Feature;Head-On;Local Street;B: Evident Injury;Robeson;47;Clear;MCNEIL ST;31-35 mph;30 - 35  MPH;2014;Daylight;40-49
35.5834799511, -81.0289633165;"{""type"": ""Point"", ""coordinates"": [-81.02896331651134, 35.583479951099946]}";Black;None - Rural Crash;Travel Lane;2;13;Rural (<30% Developed);Male;Passenger Car;1;No;0;40001849;White;No;0;11-15;Bicyclist Ride Through - Sign-Controlled Intersection;None;No;#NULL!;Dry;0;Rural;No;28APR2014;0;13:46;Male;#NULL!;Farms, Woods, Pastures;O: No Injury;No;O: No Injury;184;April;0;Curve - Level;Piedmont;With Traffic;Stop Sign;Monday;Intersection;14;1;Two-Way, Not Divided;2 lanes;0;No;SR 1849;Smooth Asphalt;1863;T-Intersection;Bicyclist Failed to Yield - Sign-Controlled Intersection;State Secondary Route;O: No Injury;Catawba;61;Clear;1851;31-35 mph;40 - 45  MPH;2014;Daylight;60-69
35.7810620797, -78.6347926082;"{""type"": ""Point"", ""coordinates"": [-78.63479260822213, 35.78106207973375]}";White;Raleigh;Travel Lane;2;18;Urban (>70% Developed);Male;Passenger Car;1;No;0;40002298;White;No;0;25-29;Bicyclist Ride Through - Signalized Intersection;None;No;#NULL!;Dry;0;Urban;No;05MAY2014;0;18:45;Male;#NULL!;Commercial;O: No Injury;No;O: No Injury;187;May;0;Straight - Level;Piedmont;With Traffic;Stop And Go Signal;Monday;Intersection;28;1;One-Way, Not Divided;6 lanes;0;No;E EDENTON ST;Smooth Asphalt;S BLOUNT ST;Four-Way Intersection;Bicyclist Failed to Yield - Signalized Intersection;Local Street;O: No Injury;Wake;35;Clear;PERSON ST;21-25 mph;30 - 35  MPH;2014;Daylight;30-39
35.045660847, -80.7392832015;"{""type"": ""Point"", ""coordinates"": [-80.73928320147566, 35.045660846988355]}";White;Weddington;Travel Lane;2;19;Mixed (30% To 70% Developed);Male;Van;0;No;1;40001344;White;No;0;40-49;Motorist Overtaking - Other / Unknown;None;No;#NULL!;Dry;0.02;Urban;No;07MAY2014;0;19:35;Male;#NULL!;Residential;B: Evident Injury;Yes;O: No Injury;189;May;0;Straight - Level;Piedmont;With Traffic;Double Yellow Line, No Passing Zone;Wednesday;Non-Intersection;49;1;Two-Way, Not Divided;2 lanes;0;No;SR 1344;Smooth Asphalt;1345;No Special Feature;Motorist Overtaking Bicyclist;State Secondary Route;B: Evident Injury;Union;70+;Clear;2512;31-35 mph;40 - 45  MPH;2014;Daylight;70+
35.7860440792, -78.6870626236;"{""type"": ""Point"", ""coordinates"": [-78.6870626236195, 35.78604407919043]}";Other;Raleigh;Travel Lane;2;14;Urban (>70% Developed);Male;Passenger Car;0;No;0;50012171;Black;No;1;20-24;Bicyclist Ride Through - Sign-Controlled Intersection;None;No;#NULL!;Dry;0;Urban;No;17MAY2014;0;14:08;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;191;May;0;Straight - Level;Piedmont;With Traffic;Stop Sign;Saturday;Intersection;22;1;Two-Way, Not Divided;2 lanes;0;No;GORMAN ST;Concrete;WESTERN BLVD;No Special Feature;Bicyclist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Wake;68;Clear;LEXINGTON DR;26-30 mph;30 - 35  MPH;2014;Daylight;60-69
35.7901070752, -78.8273626668;"{""type"": ""Point"", ""coordinates"": [-78.8273626667991, 35.790107075190996]}";White;Cary;Travel Lane;2;18;Urban (>70% Developed);Female;Passenger Car;1;No;0;40003112;White;No;0;30-39;Bicyclist Overtaking - Other / Unknown;None;No;#NULL!;Dry;0.1;Urban;No;29APR2014;0;18:22;Female;#NULL!;Residential;O: No Injury;No;O: No Injury;196;April;0;Straight - Level;Piedmont;With Traffic;No Control Present;Tuesday;Non-Intersection;31;1;Two-Way, Divided, Unprotected Median;4 lanes;0;No;NW CARY PKWY;Smooth Asphalt;SUMMER LAKES;No Special Feature;Bicyclist Overtaking Motorist;State Secondary Route;O: No Injury;Wake;32;Clear;HIGH HOUSE RD;Unknown;40 - 45  MPH;2014;Daylight;30-39
34.2422517693, -77.8921623057;"{""type"": ""Point"", ""coordinates"": [-77.89216230574509, 34.242251769257976]}";Black;Wilmington;Sidewalk / Crosswalk / Driveway Crossing;2;17;Urban (>70% Developed);Male;Passenger Car;0;No;0;29000017;Black;No;1;25-29;Motorist Drive Out - Commercial Driveway / Alley;None;No;#NULL!;Dry;0.23;Urban;No;15MAY2014;0;17:01;Male;#NULL!;Commercial;C: Possible Injury;No;O: No Injury;209;May;0;Straight - Level;Coastal;Facing Traffic;Stop And Go Signal;Thursday;Non-Intersection;25;1;Two-Way, Not Divided;4 lanes;0;No;4400 MARKET ST;Coarse Asphalt;S KERR AVE;No Special Feature;Motorist Failed to Yield - Midblock;Local Street;C: Possible Injury;.;70+;Cloudy;BARCLAY HILLS DR;11-15 mph;5 - 15 MPH;2014;Daylight;70+
34.7149838978, -77.1630571071;"{""type"": ""Point"", ""coordinates"": [-77.16305710706818, 34.71498389778206]}";White;None - Rural Crash;Other;2;21;Rural (<30% Developed);Male;Pickup;0;No;0;40001434;White;No;1;30-39;Motorist Overtaking - Other / Unknown;None;No;#NULL!;Dry;0.1;Rural;No;12MAY2014;0;21:55;Male;#NULL!;Farms, Woods, Pastures;C: Possible Injury;No;O: No Injury;214;May;0;Straight - Level;Coastal;With Traffic;Double Yellow Line, No Passing Zone;Monday;Non-Intersection;30;1;Two-Way, Not Divided;2 lanes;0;No;SR 1434;Smooth Asphalt;1443;No Special Feature;Motorist Overtaking Bicyclist;State Secondary Route;C: Possible Injury;Onslow;59;Clear;1444;41-45 mph;50 - 55  MPH;2014;Dark - Roadway Not Lighted;50-59
34.4263528219, -77.5454822094;"{""type"": ""Point"", ""coordinates"": [-77.54548220936564, 34.42635282185273]}";White;Surf City;Travel Lane;2;13;Mixed (30% To 70% Developed);Male;Passenger Car;0;No;0;0;White;No;1;6-10;Bicyclist Ride Through - Signalized Intersection;None;No;#NULL!;Dry;0;Rural;No;01JUN2014;0;13:00;Male;#NULL!;Commercial;C: Possible Injury;No;O: No Injury;218;June;0;Straight - Level;Coastal;With Traffic;Stop And Go Signal;Sunday;Intersection;10;1;Two-Way, Divided, Unprotected Median;3 lanes;0;No;ROLAND AVE;Coarse Asphalt;N TOPSAIL DR;Four-Way Intersection;Bicyclist Failed to Yield - Signalized Intersection;Local Street;C: Possible Injury;Pender;20;Clear;S TOPSAIL DR;31-35 mph;30 - 35  MPH;2014;Daylight;20-24
35.9919811145, -78.9214887061;"{""type"": ""Point"", ""coordinates"": [-78.92148870605588, 35.991981114503446]}";Black;Durham;Travel Lane;2;21;Urban (>70% Developed);Male;Light Truck (Mini-Van, Panel);0;No;0;40001127;Hispanic;No;1;11-15;Motorist Drive Out - Sign-Controlled Intersection;None;No;#NULL!;Dry;0;Urban;No;01JUN2014;0;21:50;Male;#NULL!;Commercial;C: Possible Injury;Yes;O: No Injury;228;June;0;Straight - Level;Piedmont;Facing Traffic;Stop Sign;Sunday;Intersection;13;1;Two-Way, Not Divided;2 lanes;0;No;MOREHEAD AVE;Coarse Asphalt;CHAPEL HILL RD;No Special Feature;Motorist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Durham;37;Clear;ROSEDALE AVE;0-5 mph;30 - 35  MPH;2014;Dark - Lighted Roadway;30-39
35.7762070792, -78.6182526028;"{""type"": ""Point"", ""coordinates"": [-78.61825260283969, 35.77620707923271]}";Black;Raleigh;Travel Lane;2;18;Urban (>70% Developed);Male;Light Truck (Mini-Van, Panel);0;No;1;50019046;Black;No;0;6-10;Bicyclist Ride Through - Sign-Controlled Intersection;Non-Highway Work;No;#NULL!;Dry;0;Urban;No;29MAY2014;0;18:04;Male;#NULL!;Residential;B: Evident Injury;Yes;O: No Injury;231;May;0;Straight - Hillcrest;Piedmont;With Traffic;Stop Sign;Thursday;Intersection;7;1;Two-Way, Not Divided;2 lanes;0;No;E MARTIN ST;Grooved Concrete;PARRISH ST;No Special Feature;Bicyclist Failed to Yield - Sign-Controlled Intersection;Local Street;B: Evident Injury;Wake;70+;Clear;E MARTIN ST;26-30 mph;30 - 35  MPH;2014;Daylight;70+
35.792317084, -78.5816925918;"{""type"": ""Point"", ""coordinates"": [-78.5816925918088, 35.79231708401118]}";Black;Raleigh;Non-Roadway;2;20;Urban (>70% Developed);Male;Passenger Car;0;No;1;0;Black;No;0;0-5;Non-Roadway;None;No;#NULL!;Dry;0.002;Urban;No;05JUN2014;0;20:23;Female;#NULL!;Residential;B: Evident Injury;Yes;O: No Injury;237;June;0;Straight - Level;Piedmont;Not Applicable;No Control Present;Thursday;Non-Roadway;5;1;Two-Way, Not Divided;Unknown;0;No;PVA 3302 NEW BERN RIDGE DR;Smooth Asphalt;KELLY AUSTIN DR;Driveway, Public;Non-Roadway;Public Vehicular Area;B: Evident Injury;Wake;26;Clear;PRIDWEN CIR;11-15 mph;20 - 25  MPH;2014;Dark - Lighted Roadway;25-29
